,t,xr,xr_dot,xw,yr,θr,θr_dot,θw,θw_dot,tau,tau_p1,tau_p1_nn,xr_sp,θr_sp
0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,141.912527,146.5968253565489,-0.09018565153628205,0.0
1,0.035,-0.0021156087387058037,-0.12090598400130094,0.0017307715755642186,5.99999876711308,-0.0006410634296204886,-0.03663484710727977,0.00043269289389105464,0.024725774660594415,141.912527,98.89017,116.60606519338204,-0.09018565153628205,0.0
2,0.07,-0.007824099910768802,-0.20533333791527897,0.006398788373003536,5.999983142430391,-0.002370483600662045,-0.06219653585547328,0.001599697093250884,0.04196146930439018,98.89017,64.9039314,72.19330544107908,-0.09018565153628205,0.0
3,0.10500000000000001,-0.015985653252408333,-0.26110307707462105,0.013065944929694179,5.999929666641357,-0.004841951949850928,-0.07904082405624237,0.0032664862324235447,0.053285466815708296,64.9039314,38.1797403,34.50900970945512,-0.09018565153628205,0.0
4,0.14,-0.02570688397806241,-0.2944831108240578,0.02099337093280198,5.999818254429984,-0.0077834544079893285,-0.08905762453892949,0.005248342733200495,0.05996565910237976,38.1797403,10.8953374,1.4139914134265976,-0.09018565153628205,0.0
5,0.17500000000000002,-0.03619658539206838,-0.30504432191719233,0.029524234204710748,5.999640053692516,-0.010953688974778112,-0.09211141164457018,0.007381058551177687,0.06190603698755719,10.8953374,-13.3998499,-22.044789149048395,-0.09018565153628205,0.0
6,0.21000000000000002,-0.04670075682655725,-0.2953479354641271,0.038031459792069344,5.99940167445612,-0.014122505542659224,-0.08897666264067731,0.009507864948017336,0.0596280100949842,-13.3998499,-34.2774124,-49.06164957659566,-0.09018565153628205,0.0
7,0.24500000000000002,-0.05656107539186235,-0.26829090816787227,0.04596613269822304,5.999123950344854,-0.01708869972030443,-0.08053297982472994,0.01149153317455576,0.053726742695126846,-34.2774124,-48.182761,-49.02314391447609,-0.09018565153628205,0.0
8,0.28,-0.06527348145807702,-0.22977280025222097,0.05290596920248527,5.998836021883043,-0.01969784889684977,-0.06857269611752718,0.013226492300621317,0.04541584411323553,-48.182761,-55.414133,-54.956885008595755,-0.09018565153628205,0.0
9,0.31500000000000006,-0.07253571742729728,-0.185422179133554,0.05859489759782208,5.998566892333796,-0.021856842710166996,-0.05480789960295063,0.01464872439945552,0.03585630462103744,-55.414133,-56.2384422,-54.820537592765135,-0.09018565153628205,0.0
10,0.3500000000000001,-0.07823838599725991,-0.1406315418131171,0.06293609660181854,5.9983389171888986,-0.023531251993161518,-0.040880055976964064,0.015734024150454634,0.02616219851216682,-56.2384422,-51.2409923,-49.58894330684099,-0.09018565153628205,0.0
11,0.3850000000000001,-0.0824519698452273,-0.10029393596687786,0.06598156490307248,5.998163676139734,-0.024741446582259245,-0.028279322278568747,0.01649539122576812,0.017345499426133656,-51.2409923,-46.2293178,-41.216598910389756,-0.09018565153628205,0.0
12,0.42000000000000015,-0.08533160383009912,-0.06436116031994184,0.06785416367357446,5.9980441912872156,-0.02553373570550582,-0.016997918433617545,0.016963540918393614,0.009406587570440859,-46.2293178,-32.9886138,-32.138767786046344,-0.09018565153628205,0.0
13,0.4550000000000002,-0.08715314301527462,-0.03978969108243347,0.06877700042202924,5.997973473629875,-0.0259912835288603,-0.009149741282600252,0.01719425010550731,0.003777189153292009,-32.9886138,-25.0993223,-23.12821223777863,-0.09018565153628205,0.0
14,0.4900000000000002,-0.08823362703625816,-0.02198299986801279,0.06900804900182943,5.997939234046702,-0.02620994677316995,-0.0033463020632700418,0.017252012250457357,-0.00047629687209813413,-25.0993223,-15.5982113,-17.817552220544542,-0.09018565153628205,0.0
15,0.5250000000000002,-0.08883319743856447,-0.012286446698582615,0.06875952220167333,5.997930020825217,-0.026268474186997414,1.6085579230165452e-06,0.017189880550418334,-0.0030740245115301787,-15.5982113,-10.2682104,-20.623616043364333,-0.09018565153628205,0.0
16,0.5600000000000003,-0.08917307872357984,-0.0071305958871460805,0.06821231739175855,5.997935464565255,-0.026233908356773448,0.0019736992588390715,0.017053079347939638,-0.004743197860045127,-10.2682104,-7.43509044,-14.148770461340042,-0.09018565153628205,0.0
17,0.5950000000000003,-0.0893747123771645,-0.004378902958068736,0.0674659585100779,5.99794973336353,-0.026143089677078908,0.0032162635131783115,0.016866489627519476,-0.0059191210092846515,-7.43509044,-6.25897599,-12.257551201835536,-0.09018565153628205,0.0
18,0.6300000000000003,-0.08949739219165694,-0.002613795852545689,0.06656927889069007,5.997969922746969,-0.026014045831169678,0.00415814314327299,0.016642319722672518,-0.006890663678045908,-6.25897599,-4.93405569,-11.331592358230061,-0.09018565153628205,0.0
19,0.6650000000000004,-0.08957776730317199,-0.001957563693884473,0.06555269652316231,5.997994209666514,-0.02585795879326627,0.004761773303971618,0.016388174130790578,-0.007632050879428545,-4.93405569,-4.66848784,-10.691385129341043,-0.09018565153628205,0.0
20,0.7000000000000004,-0.08963875962314166,-0.0015047346815271895,0.06443550378746432,5.998021433885884,-0.025681866923368327,0.0053011676020568365,0.01610887594686608,-0.008327935073467052,-4.66848784,-4.22500349,-10.399660464303908,-0.09018565153628205,0.0
21,0.7350000000000004,-0.08969010003673669,-0.0014043557462897621,0.06322623640764144,5.9980510663088245,-0.02548881591227901,0.005730877177733278,0.01580655910191036,-0.008947404703172358,-4.22500349,-4.24747001,-10.158242666043508,-0.09018565153628205,0.0
22,0.7700000000000005,-0.08973714043746736,-0.0012574143817198416,0.06192990579986727,5.998082785947994,-0.025280533774398043,0.006171566507852401,0.015482476449966818,-0.00957170335720856,-4.24747001,-4.02679112,-10.02414924529149,-0.09018565153628205,0.0
23,0.8050000000000005,-0.08978183349113646,-0.0012689452434560544,0.06054879577377749,5.998116429505584,-0.025057727043217643,0.006560870357698354,0.015137198943444372,-0.010158541847411546,-4.02679112,-4.09259293,-9.866164937309463,-0.09018565153628205,0.0
24,0.8400000000000005,-0.08982542299622008,-0.001193022770725874,0.059084653159286085,5.998151864467868,-0.02482089454365083,0.006973090486614866,0.014771163289821521,-0.010757891422603767,-4.09259293,-3.93192652,-9.75422404147669,-0.09018565153628205,0.0
25,0.8750000000000006,-0.0898681850735569,-0.0012206107058020735,0.057538483220936215,5.998188999534969,-0.02457025013963033,0.007350140647636518,0.014384620805234054,-0.011330363647905295,-3.93192652,-3.98301334,-9.606855422714808,-0.09018565153628205,0.0
26,0.9100000000000006,-0.08991055498514128,-0.0011695042243486664,0.05591146257733224,5.998227733188696,-0.024306062798008506,0.007747022199540668,0.01397786564433306,-0.011912909355398169,-3.98301334,-3.85467043,-9.488078166321047,-0.09018565153628205,0.0
27,0.9450000000000006,-0.08995241590045557,-0.00119066716519442,0.054204364343045416,5.9982679852362235,-0.02402844217489279,0.008117777041139154,0.013551091085761354,-0.012474332353007336,-3.85467043,-3.88073974,-9.33727839801637,-0.09018565153628205,0.0
28,0.9800000000000006,-0.08999396462182901,-0.0011507752657371056,0.0524182587662144,5.998309658447925,-0.023737599753833067,0.008502599382881103,0.0131045646915536,-0.013041592890755932,-3.88073974,-3.77075721,-9.20476533024174,-0.09018565153628205,0.0
29,1.0150000000000006,-0.09003505636691919,-0.0011638951144655255,0.05055398318847389,5.998352667354338,-0.02343365124397248,0.008866717382809681,0.012638495797118473,-0.013591049852830902,-3.77075721,-3.77562685,-9.046243572320858,-0.09018565153628205,0.0
30,1.0500000000000005,-0.09007580385846845,-0.0011304366057367093,0.048612625636906354,5.9983969124695395,-0.023116797077521678,0.009240107573418957,0.012153156409226588,-0.014142770511562614,-3.77562685,-3.67722171,-8.899613982901462,-0.09018565153628205,0.0
31,1.0850000000000004,-0.09011608159832749,-0.0011365971595522564,0.046595124247940566,5.998442301647659,-0.02278717298305559,0.009596448565679065,0.011648781061985141,-0.01467882213840666,-3.67722171,-3.66484233,-8.731825019800539,-0.09018565153628205,0.0
32,1.1200000000000003,-0.090155963646888,-0.0011073820241418036,0.04450261979613779,5.998488731831137,-0.022444981738063866,0.009958268846781002,0.011125654949034447,-0.015214248776206954,-3.66484233,-3.57407773,-8.571497677814369,-0.09018565153628205,0.0
33,1.1550000000000002,-0.09019534692013054,-0.0011078397830582842,0.04233615148955116,5.998536104911705,-0.022090379652963444,0.010305661343882826,0.01058403787238779,-0.01573545196158881,-3.57407773,-3.547613,-8.393744174060487,-0.09018565153628205,0.0
34,1.1900000000000002,-0.09023428252236376,-0.0010815282589924785,0.0400969228370133,5.998584314395321,-0.021723576128662082,0.010655538152459473,0.010024230709253325,-0.016253689293437328,-3.547613,-3.46171789,-8.220188916840538,-0.09018565153628205,0.0
35,1.225,-0.09027268862454395,-0.001077405890519606,0.03778606995611046,5.998633257197074,-0.021344747164698533,0.010992874072414578,0.009446517489027615,-0.01675866258125177,-3.46171789,-3.42377749,-8.032086141961026,-0.09018565153628205,0.0
